lambda,OC1,OC2,OC3,OC4,OC5,OC6,OC7,Overall_opportunity_cost
0.5,-0.028,0.038,-0.052,0.011,-0.123,-0.123,-0.121,-0.397
1,0.039,-0.053,-0.160,-0.042,-0.179,-0.180,-0.173,-0.746
1.5,0.069,-0.136,-0.254,-0.079,-0.274,-0.276,-0.266,-1.216
2,-0.130,0.193,-0.260,-0.114,-0.369,-0.371,-0.350,-1.400
2.5,-0.171,-0.098,-0.479,-0.183,-0.334,-0.337,-0.988,-2.591
3,-0.208,-0.043,-0.580,-0.236,-0.352,-0.356,-1.184,-2.961
3.5,-0.240,-0.114,-0.671,-0.269,-0.454,-0.459,-1.378,-3.586
4,-0.271,-0.188,-0.762,-0.301,-0.550,-0.556,-1.518,-4.147
4.5,-0.303,-0.265,-0.852,-0.332,-0.651,-0.658,-1.766,-4.827
5,-0.338,-0.362,-0.955,-0.325,-0.686,-0.694,-1.962,-5.322
